CustomerID,Name,State,Education,Gender,Age,Married,NumPets,JoinDate,TransactionDate,MonthlySpend,DaysSinceLastInteraction,CustomerSegment
CUST10319,Scott Perez,Florida,High School,Non-Binary,47,Yes,1,9/19/21,9/2/24,1281.74,332,High
CUST10695,Jennifer Burton,Washington,Master,Male,72,Yes,0,4/5/24,6/2/24,429.46,424,High
CUST10297,Michelle Rogers,Arizona,Master,Female,40,Yes,2,7/24/24,2/28/25,510.34,153,High
CUST10103,Brooke Hendricks,Texas,Master,Male,27,Yes,0,8/12/23,3/29/25,396.47,124,High
CUST10219,Karen Johns,Texas,High School,Female,28,Yes,1,12/6/21,7/24/22,139.68,1103,Low
CUST10841,Stephen Cooke,Texas,PhD,Female,55,Yes,2,5/25/22,4/4/23,423.45,849,High
CUST10263,Rodney James,Ohio,High School,Non-Binary,61,No,0,11/20/23,3/26/24,402.96,492,High
CUST10117,Jeffrey Miles,Arizona,High School,Male,21,Yes,2,9/28/20,7/9/23,175.81,753,Low
CUST10611,John Walsh,New York,Master,Male,74,No,2,5/15/21,7/30/22,320.48,1097,Medium
CUST10466,James Pope,New York,Master,Female,50,No,1,7/28/21,1/28/23,151.49,915,Low
CUST10058,Jennifer Anderson MD,Florida,PhD,Non-Binary,49,No,3,10/20/21,9/20/24,320.95,314,Medium
CUST10684,David Roy,Illinois,High School,Male,27,No,0,9/22/21,8/1/22,912.8,1095,High
CUST10802,April Davis,Arizona,Bachelor,Non-Binary,30,No,4,2/6/23,6/12/23,1225.58,780,High
CUST10221,Susan Reed,Texas,Bachelor,Male,25,Yes,1,4/3/23,11/16/23,444.74,623,High
CUST10621,Michelle Munoz,Georgia,Bachelor,Female,25,No,2,4/11/24,5/15/25,103.3,77,Low
CUST10935,Scott Wood MD,California,High School,Male,78,No,0,2/5/23,5/5/24,315.62,452,Medium
CUST10768,Marc Smith,Arizona,Bachelor,Female,39,No,3,4/8/24,5/31/24,319.54,426,Medium
CUST10862,James Blake,Texas,Associate,Non-Binary,26,No,0,3/20/21,11/14/22,432.37,990,High
CUST10754,Brian Harris,California,Master,Male,28,Yes,1,5/2/21,12/30/21,353.14,1309,Medium
CUST10109,Thomas Gilbert,Florida,Master,Non-Binary,51,Yes,3,3/12/23,6/25/25,127.75,36,Low
CUST10862,James Blake,Texas,Associate,Non-Binary,26,No,0,3/20/21,4/11/23,391.56,842,High
CUST10714,Bradley Williams,Georgia,Associate,Male,75,No,1,5/10/23,6/2/24,331.69,424,Medium
CUST10176,Phyllis Mason,California,PhD,Female,38,No,3,5/2/21,9/21/21,920.89,1409,High
CUST10499,Kathryn Campbell,Florida,Associate,Female,34,No,1,11/13/23,12/21/24,121.79,222,Low
CUST10502,Hannah Turner,Colorado,Bachelor,Male,30,No,4,4/30/22,8/11/24,322.3,354,Medium
CUST10637,Emily Schneider,Florida,Associate,Non-Binary,68,No,1,3/1/22,2/20/25,547.29,161,High
CUST10253,Mrs. Lisa Jennings DDS,Illinois,Master,Male,61,Yes,0,3/25/22,8/18/22,249.12,1078,Medium
CUST10013,Jennifer Ritter,Florida,PhD,Non-Binary,73,Yes,4,2/6/24,4/28/24,994.47,459,High
CUST10358,Scott Finley,Ohio,High School,Male,21,Yes,2,10/31/21,6/20/24,172.63,406,Low
CUST10962,Richard Rogers,Colorado,Associate,Female,26,No,0,5/8/24,7/2/24,311.23,394,Medium
CUST10739,Evelyn Buckley,Washington,Bachelor,Non-Binary,55,Yes,3,5/4/22,12/15/22,192.79,959,Low
CUST10148,Erin Mason,Florida,PhD,Male,37,Yes,2,11/28/20,3/18/24,129.89,500,Low
CUST10589,Nathan Sanders,Texas,PhD,Male,71,Yes,3,2/1/22,4/10/22,861.57,1208,High
CUST10807,Matthew Hopkins,Illinois,Bachelor,Male,43,No,0,6/19/21,11/29/21,366.8,1340,Medium
CUST10706,Ronald Becker,California,PhD,Non-Binary,22,No,2,3/8/24,2/22/25,961.06,159,High
CUST10767,Miranda Brown,Georgia,PhD,Non-Binary,78,No,0,4/3/21,11/8/22,444.09,996,High
CUST10328,Ariel Love,California,Master,Female,79,No,0,7/24/24,1/22/25,550.22,190,High
CUST10771,Matthew Ochoa,Texas,High School,Female,20,No,0,10/20/20,5/26/21,120.39,1527,Low
CUST10498,Derek Greene,Colorado,Associate,Non-Binary,52,No,1,7/26/24,9/16/24,153.83,318,Low
CUST10602,William Reed,Florida,High School,Female,69,No,0,5/6/21,6/13/22,320.13,1144,Medium
CUST10487,Theresa Crawford,Georgia,PhD,Male,18,Yes,1,11/4/23,9/6/24,155.06,328,Low
CUST10383,Willie Green,Colorado,PhD,Non-Binary,74,Yes,1,1/22/22,5/6/24,526.87,451,High
CUST10627,Gary Richardson,New York,Master,Non-Binary,32,No,0,6/18/21,9/12/23,30.5,688,Low
CUST10618,Kelly Beard,Colorado,Bachelor,Non-Binary,58,Yes,1,3/17/21,2/11/24,115.6,536,Low
CUST10552,Margaret Mcfarland,Georgia,Associate,Non-Binary,36,No,2,1/20/24,4/1/25,637.29,121,High
CUST10556,Ashley Roberts,California,Associate,Non-Binary,50,No,4,1/22/23,12/12/24,247.99,231,Medium
CUST10848,Brandon Phillips,Washington,Bachelor,Male,55,No,4,3/2/23,2/27/24,391.83,520,High
CUST10801,Tyler Peterson,Ohio,Bachelor,Non-Binary,53,No,3,10/28/23,5/7/25,138.76,85,Low
CUST10523,Angela Allen,California,Associate,Female,46,No,0,9/21/20,8/28/24,729.81,337,High
CUST10354,Jennifer Marshall,New York,Master,Non-Binary,45,No,1,5/19/21,3/29/23,439.96,855,High
CUST10130,Eric Nelson,Ohio,Bachelor,Female,44,Yes,1,1/19/22,12/29/22,183.55,945,Low
CUST10975,Max Carson,Ohio,Master,Male,34,No,0,3/10/21,5/28/21,433.2,1525,High
CUST10382,Crystal Hines,Ohio,High School,Male,41,Yes,1,6/10/22,12/22/24,132.46,221,Low
CUST10138,Chelsea James,Texas,PhD,Male,69,No,2,6/14/24,12/23/24,39.08,220,Low
CUST10666,Matthew Lopez,Illinois,Master,Female,43,No,1,12/27/23,11/22/24,137.27,251,Low
CUST10722,Jerry Castaneda,California,Associate,Female,29,No,1,8/24/23,12/16/23,755.25,593,High
CUST10798,Sharon Schneider,Washington,High School,Non-Binary,45,No,2,4/30/21,2/7/24,107.94,540,Low
CUST10624,Kelly Ramos,Georgia,High School,Female,35,Yes,2,6/16/21,7/27/21,288.58,1465,Medium
CUST10283,Adam Davis,Illinois,High School,Male,51,No,0,6/13/22,1/19/24,203.92,559,Medium
CUST10897,Richard Becker,Washington,High School,Male,27,Yes,4,4/22/22,7/7/22,145.35,1120,Low
CUST10956,Richard Mercado,New York,Bachelor,Non-Binary,74,No,1,5/25/21,1/28/22,335.24,1280,Medium
CUST10336,Garrett Sanders,Florida,Master,Non-Binary,69,No,3,10/17/21,6/4/22,111.81,1153,Low
CUST10685,Shelley Thomas,Arizona,PhD,Female,58,No,2,4/22/24,12/30/24,508.64,213,High
CUST10293,Susan Davis,Illinois,Master,Male,45,Yes,2,9/22/21,4/12/24,531.34,475,High
CUST10099,Danielle Huffman,New York,High School,Non-Binary,18,No,2,12/9/21,8/10/24,207.73,355,Medium
CUST10753,Alison Mccarthy,Georgia,Associate,Male,56,Yes,1,2/25/21,2/1/22,418.31,1276,High
CUST10097,Frank Moore,Ohio,Associate,Male,80,No,0,7/22/21,12/4/24,443.07,239,High
CUST10686,Dennis Kane,Washington,PhD,Female,75,No,3,8/24/23,4/9/25,285.38,113,Medium
CUST10502,Hannah Turner,Colorado,Bachelor,Male,30,No,4,4/30/22,11/10/23,184.44,629,Low
CUST10548,Gordon Roman,New York,High School,Non-Binary,62,No,2,10/11/23,5/4/25,976.86,88,High
CUST10262,Edward Medina,Georgia,Associate,Male,62,No,2,7/15/21,12/6/21,457.55,1333,High
CUST10838,Derek Salinas,Ohio,Associate,Non-Binary,62,Yes,1,12/6/21,4/26/24,137.75,461,Low
